date,count,mean,std,min,5%,50%,95%,max,approx_up,approx_down,"R (combined, estimate)"
2021-09-28,9.0,1.0248436666666665,0.3513847117227783,0.416487,0.5232662,0.946193,1.4150192,1.446532,1.4150192,0.5232662,0.946193
2021-09-29,13.0,1.093414923076923,0.30180867770892583,0.457265,0.6427316,0.990842,1.4430797999999996,1.600254,1.4430797999999996,0.6427316,0.990842
2021-09-30,17.0,1.1815341764705884,0.3239764815808848,0.576163,0.825151,1.09248,1.7623254,1.954495,1.7623254,0.825151,1.09248
2021-10-01,21.0,1.2956608095238096,0.34737962909065623,0.860094,0.957059,1.259155,1.787382,2.347965,1.787382,0.957059,1.259155
2021-10-02,24.0,1.3109701666666667,0.24619670124969567,0.991803,1.0478647,1.2570109999999999,1.7947372999999998,2.016354,1.7947372999999998,1.0478647,1.2570109999999999
2021-10-03,26.0,1.3368521538461537,0.27220449968546695,1.028369,1.08406275,1.263908,1.818012,2.203158,1.818012,1.08406275,1.263908
2021-10-04,28.0,1.3559132142857144,0.3520573464671742,1.065826,1.11551025,1.2485935,1.7646098499999998,2.856401,1.7646098499999998,1.11551025,1.2485935
2021-10-05,28.0,1.3686629285714285,0.39407812346021015,1.103135,1.1385434,1.2546895,1.76036895,3.127678,1.76036895,1.1385434,1.2546895
2021-10-06,28.0,1.3646096428571428,0.3839102095179157,1.139242,1.1584833,1.2389465,1.81504625,3.088536,1.81504625,1.1584833,1.2389465
2021-10-07,28.0,1.3513850357142856,0.34723487112055695,1.15417,1.15714155,1.251786,1.7985413999999997,2.907204,1.7985413999999997,1.15714155,1.251786
2021-10-08,28.0,1.3316353928571427,0.28487966994106273,1.145874,1.1519464,1.25353,1.6983932499999999,2.601691,1.6983932499999999,1.1519464,1.25353
2021-10-09,28.0,1.3040559285714284,0.18074528210141655,1.121372,1.1461126000000001,1.256364,1.61271335,2.008671,1.61271335,1.1461126000000001,1.256364
2021-10-10,28.0,1.2883268928571427,0.12382133125846177,1.095344,1.1488665,1.263034,1.5467598999999999,1.660555,1.5467598999999999,1.1488665,1.263034
2021-10-11,28.0,1.2812903214285711,0.09350651748409824,1.08199,1.15308655,1.275066,1.47421155,1.498841,1.47421155,1.15308655,1.275066
2021-10-12,28.0,1.2808895357142858,0.07358979618402325,1.131729,1.1667509,1.2807085,1.4292719999999999,1.452226,1.4292719999999999,1.1667509,1.2807085
2021-10-13,28.0,1.2836779285714286,0.06323599019482999,1.184567,1.19486815,1.287736,1.39891415,1.423563,1.39891415,1.19486815,1.287736
2021-10-14,28.0,1.285168678571429,0.06426343589507959,1.123299,1.20850355,1.2877435,1.3751543499999999,1.400965,1.3751543499999999,1.20850355,1.2877435
2021-10-15,28.0,1.28413625,0.0709472385930011,1.063888,1.2091480000000001,1.2894775,1.3781242,1.400735,1.3781242,1.2091480000000001,1.2894775
2021-10-16,28.0,1.2811229999999998,0.07255649914172886,1.073377,1.1950018,1.2769305000000002,1.3721358,1.430208,1.3721358,1.1950018,1.2769305000000002
2021-10-17,28.0,1.272476535714286,0.07303697089145113,1.093161,1.1779624,1.2588620000000001,1.3760519,1.450035,1.3760519,1.1779624,1.2588620000000001
2021-10-18,28.0,1.2583981785714287,0.07184393427786707,1.112049,1.1637045000000001,1.2415965,1.3673583999999999,1.46153,1.3673583999999999,1.1637045000000001,1.2415965
2021-10-19,28.0,1.2402524285714285,0.06560088061199164,1.129793,1.1465894,1.2295470000000002,1.333383,1.447361,1.333383,1.1465894,1.2295470000000002
2021-10-20,28.0,1.2209637142857142,0.05231326344164876,1.10544,1.14874885,1.219014,1.31783425,1.334668,1.31783425,1.14874885,1.219014
2021-10-21,28.0,1.2039078571428572,0.04697113517873329,1.066928,1.1265215,1.2131895,1.2470761000000001,1.30926,1.2470761000000001,1.1265215,1.2131895
2021-10-22,28.0,1.1891317857142856,0.050087709504026925,1.031761,1.0857674,1.194646,1.2393718,1.247688,1.2393718,1.0857674,1.194646
2021-10-23,28.0,1.179562607142857,0.061620038219505194,1.008975,1.04908275,1.197707,1.23847265,1.25175,1.23847265,1.04908275,1.197707
2021-10-24,28.0,1.1759459642857144,0.07214996869868275,1.01357,1.0362156999999999,1.2030065,1.24458625,1.254415,1.24458625,1.0362156999999999,1.2030065
2021-10-25,28.0,1.1776263571428571,0.08059962981084652,0.98412,1.02400865,1.2121795,1.25487925,1.274102,1.25487925,1.02400865,1.2121795
2021-10-26,28.0,1.1832617142857145,0.0858042295857508,0.947469,1.00985355,1.218156,1.2584578499999999,1.297742,1.2584578499999999,1.00985355,1.218156
2021-10-27,28.0,1.1907564642857142,0.08478481559348289,0.971898,0.98531565,1.2126005,1.25742295,1.316438,1.25742295,0.98531565,1.2126005
2021-10-28,28.0,1.199978607142857,0.07913729658536452,0.947117,1.03253905,1.222556,1.26575635,1.330493,1.26575635,1.03253905,1.222556
2021-10-29,28.0,1.2131107857142858,0.0649115090111186,1.024895,1.08899175,1.2237755,1.2775925,1.338626,1.2775925,1.08899175,1.2237755
2021-10-30,28.0,1.2268651428571429,0.05407611742905605,1.114309,1.1310638,1.236417,1.30081965,1.333749,1.30081965,1.1310638,1.236417
2021-10-31,28.0,1.2415620357142856,0.05401722232665771,1.091538,1.1486853,1.2491765,1.31890675,1.334139,1.31890675,1.1486853,1.2491765
2021-11-01,28.0,1.2570621428571427,0.06307485814004059,1.070682,1.13989505,1.264769,1.33366615,1.350916,1.33366615,1.13989505,1.264769
