date,mean,mean_se,mean_ci_lower,mean_ci_upper,obs_ci_lower,obs_ci_upper
2021-01-01,0.9334680429159892,0.025384113099110917,0.8833462339244502,0.9835898519075281,0.7162339394464208,1.1507021463855576
2021-01-02,0.9371969032971933,0.022908369024495025,0.8919635365819448,0.9824302700124418,0.7210383563043923,1.1533554502899943
2021-01-03,0.9320993505054793,0.02238677273476739,0.8878958936989343,0.9763028073120243,0.7161539741546741,1.1480447268562846
2021-01-04,0.9270910145671932,0.024273112400559904,0.8791629148687393,0.9750191142656471,0.7103525484049825,1.143829480729404
2021-01-05,0.9244967420292162,0.025909082053637445,0.8733383636857156,0.9756551203727167,0.7070211350099931,1.1419723490484393
2021-01-06,0.9251087495120969,0.02349951788690225,0.8787081389285496,0.9715093600956441,0.7087029348116392,1.1415145642125546
2021-01-07,0.9376791066513708,0.019240581007167572,0.899687914193232,0.9756702991095095,0.7229192624578293,1.1524389508449122
2021-01-08,0.9443040825602859,0.017704235141869747,0.9093464581336453,0.9792617069869264,0.7300600733577018,1.1585480917628699
2021-01-09,0.9399051049750485,0.015587038264997317,0.909127958985679,0.9706822509644181,0.726303389886209,1.153506820063888
2021-01-10,0.9359231501628074,0.014137124741167397,0.9080089085582358,0.9638373917673789,0.7227151182831401,1.1491311820424746
2021-01-11,0.9391730776736239,0.012004917332148412,0.9154689533210487,0.9628772020261991,0.7264752979838369,1.1518708573634109
2021-01-12,0.9256948380208538,0.012395204001267902,0.901220079145608,0.9501695968960997,0.712909796733539,1.1384798793081685
2021-01-13,0.9367283525576641,0.012242878346696205,0.9125543659541594,0.9609023391611687,0.7239776966198991,1.1494790084954292
2021-01-14,0.9324299953940407,0.010364034629872386,0.9119658506720274,0.952894140116054,0.7200688850351844,1.144791105752897
2021-01-15,0.9290197634440317,0.010300816763253489,0.908680444585469,0.9493590823025944,0.7166706455620091,1.1413688813260543
2021-01-16,0.9227890380067756,0.012083573341971032,0.898929604643207,0.9466484713703441,0.7100738938959874,1.1355041821175638
2021-01-17,0.9184727531970152,0.014550132207924154,0.8897430140692473,0.947202492324783,0.7051564202921191,1.131789086101911
2021-01-18,0.9072460682624455,0.01730177914523607,0.8730831071164172,0.9414090294084737,0.6931302867611562,1.1213618497637348
2021-01-19,0.9115321627819555,0.017876767375807498,0.8762338674939558,0.9468304580699551,0.69723230365022,1.1258320219136908
2021-01-20,0.9097329767013813,0.018745254948770083,0.872719822671869,0.9467461307308936,0.6951439892279901,1.1243219641747724
2021-01-21,0.9198463374000797,0.01837865995959497,0.8835570378520279,0.9561356369481315,0.7053810179767961,1.1343116568233633
2021-01-22,0.9187726511123201,0.0164199641349113,0.8863508641936836,0.9511944380309566,0.7049277721915466,1.1326175300330936
2021-01-23,0.9168563389131067,0.014106561938603861,0.8890024446189319,0.9447102332072815,0.7036561996050053,1.1300564782212081
2021-01-24,0.9319339059825582,0.01183546832881835,0.908564364545902,0.9553034474192145,0.7192731539839762,1.1445946579811404
2021-01-25,0.9526493406450863,0.009812696678433994,0.9332738317711677,0.9720248495190049,0.7403903707103245,1.1649083105798481
2021-01-26,0.9668959227098712,0.010083473008233167,0.9469857566104418,0.9868060888093007,0.7545874803724322,1.1792043650473103
2021-01-27,0.9583374447805029,0.01222804625452085,0.9341927446558307,0.982482144905175,0.7455901145557662,1.1710847750052396
2021-01-28,0.9513003844141225,0.0137604068487164,0.9241299853135376,0.9784707835147073,0.7381884641446831,1.164412304683562
2021-01-29,0.9445247175930653,0.015288016470510061,0.9143380004758443,0.9747114347102863,0.7310072760011477,1.158042159184983
2021-01-30,0.940910473773213,0.016841415080355207,0.9076565173907719,0.9741644301556541,0.7269378456435195,1.1548831019029064
2021-01-31,0.9326769232914427,0.018319801809806552,0.8965038411952188,0.9688500053876666,0.7182312382288073,1.147122608354078
2021-02-01,0.9234417109054359,0.018967854914660007,0.8859890255466905,0.9608943962641814,0.7087764747487074,1.1381069470621643
2021-02-02,0.9247650186853509,0.01728014234205512,0.8906447801553143,0.9588852572153874,0.7106560495808563,1.1388739877898455
2021-02-03,0.9283969905419773,0.014658169632841594,0.8994539277832239,0.9573400533007308,0.7150518221985157,1.1417421588854388
2021-02-04,0.9394087348124406,0.013375289346214136,0.9129987635363124,0.9658187060885688,0.7263924289660366,1.1524250406588445
2021-02-05,0.9490888725724789,0.014103120949321755,0.9212417726306167,0.9769359725143411,0.7358896208176594,1.1622881243272982
2021-02-06,0.9592340267384589,0.015237600175450478,0.9291468583390194,0.9893211951378984,0.7457306364235998,1.172737417053318
2021-02-07,0.9703739311675406,0.0165443611029707,0.9377065181343396,1.0030413442007415,0.7564916741943999,1.1842561881406812
2021-02-08,0.9922980330374518,0.018125775115909057,0.9565080633569667,1.0280880027179369,0.7779166394806114,1.2066794265942922
2021-02-09,1.0471909214521802,0.018519917411080878,1.0106227041820726,1.0837591387222878,0.8326782307134815,1.261703612190879
2021-02-10,1.0871556195858978,0.019812759618586518,1.048034640675949,1.1262765984958465,0.8721930392038335,1.302118199967962
2021-02-11,1.130164197383199,0.021567556346395133,1.0875783116606,1.1727500831057982,0.9145441203114637,1.3457842744549344
2021-02-12,1.152757555315112,0.023793900242296426,1.1057756765923181,1.1997394340379057,0.9362263637930447,1.369288746837179
2021-02-13,1.106528688796083,0.02072324363982135,1.0656099277054452,1.1474474498867209,0.891231673064709,1.321825704527457
2021-02-14,1.0756343975351805,0.01800177827600897,1.0400892639023747,1.1111795311679864,0.8612937422720763,1.2899750527982847
